PID	schoolyear	age	text_learner_ageProduction	gender	learner_gender	l1a	l1b	l1c	subcorpus	learner_school_language	yearcollected	canton	class	learner_durationOfInstruction	learner_ageofOnset	learner_target_language_durationOfInstruction	learner_target_language_input	learner_target_language_institution
Ba204	9	NA	notAvailable	m	male	deu	kur	NA	d	deu	2018	BS	Ba1	notApplicable	notAvailable	notApplicable	mainly without controlled teaching processes	notApplicable
Ba205	9	14.87945205	15	f	female	NA	NA	NA	d	deu	2018	BS	Ba1	notApplicable	notAvailable	notApplicable	mainly without controlled teaching processes	notAvailable
Ba206	9	15.38082192	15	m	male	srp	NA	NA	d	deu	2018	BS	Ba1	notApplicable	notAvailable	notApplicable	mainly without controlled teaching processes	notAvailable
Ba210	9	14.09863014	14	m	male	deu	fra	NA	d	deu	2018	BS	Ba1	notApplicable	notAvailable	notApplicable	mainly without controlled teaching processes	notApplicable
Ba211	9	15.25479452	15	m	male	deu	NA	NA	d	deu	2018	BS	Ba1	notApplicable	notAvailable	notApplicable	mainly without controlled teaching processes	notApplicable
Ba212	9	15.24383562	15	f	female	deu	NA	NA	d	deu	2018	BS	Ba1	notApplicable	notAvailable	notApplicable	mainly without controlled teaching processes	notApplicable
Ba214	9	NA	notAvailable	f	female	NA	NA	NA	d	deu	2018	BS	Ba1	notApplicable	notAvailable	notApplicable	mainly without controlled teaching processes	notAvailable
Ba217	9	14.72328767	15	f	female	deu	eng	NA	d	deu	2018	BS	Ba1	notApplicable	notAvailable	notApplicable	mainly without controlled teaching processes	notApplicable
Ba218	9	14.78356164	15	m	male	deu	NA	NA	d	deu	2018	BS	Ba1	notApplicable	notAvailable	notApplicable	mainly without controlled teaching processes	notApplicable
Ba222	9	15.24383562	15	m	male	tur	kur	NA	d	deu	2018	BS	Ba1	notApplicable	notAvailable	notApplicable	mainly without controlled teaching processes	notAvailable
Ba223	9	15.45479452	15	m	male	deu	NA	NA	d	deu	2018	BS	Ba1	notApplicable	notAvailable	notApplicable	mainly without controlled teaching processes	notApplicable
Ba224	9	15.27671233	15	m	male	deu	NA	NA	d	deu	2018	BS	Ba1	notApplicable	notAvailable	notApplicable	mainly without controlled teaching processes	notApplicable
