in_DAKODA	L1_DKD	L2_DKD	Orig_Wert_deutscheBezeichnung	Orig_Wert_englischeBezeichnung	Orig_code_ISO	Orig_code_anderer	iso639_3_de	iso639_3_en	iso639_3_code	dominantWordOrder
ja	x	0	Aramäisch	0	0	0	Aramäisch	Aramaic	arc	SOV
ja	x	0	Kurdisch	0	kur	0	Kurdisch	Kurdish	kur	SOV
ja	x	0	0	Iranian Persian	0	0	Westpersisch, Iranisches Persisch, Farsi	Western Farsi	pes	SOV
ja	x	0	Aserbaidschanisch	0	aze	0	Aserbaidschanisch	Azerbaijani	aze	SOV
ja	0	x	0	0	ben	0	Bengalisch	Bengali	ben	SOV
ja	0	x	Baskisch	0	eus	0	Baskisch	Basque	eus	SOV
ja	x	0	Hindi	Hindi	hin	0	Hindi	Hindi	hin	SOV
ja	x	x	Japanisch	Japanese	jpn	0	Japanisch	Japanese	jpn	SOV
ja	x	0	Georgisch	0	kat	0	Georgisch	Georgian	kat	SOV
ja	x	x	Koreanisch	Korean	kor	0	Koreanisch	Korean	kor	SOV
ja	x	0	0	0	nep	0	Nepali	Nepali	nep	SOV
ja	x	0	0	0	tam	0	Tamil	Tamil	tam	SOV
ja	x	0	Tatarisch	0	tat	0	Tatarisch	Tatar	tat	SOV
ja	x	x	Tadschikisch	0	tgk	0	Tadschikisch	Tajik	tgk	SOV
ja	x	x	Türkisch	Turkish, turkish	tur	0	Türkisch	Turkish	tur	SOV
ja	x	0	Urdu	0	0	0	Urdu	Urdu	urd	SOV
ja	x	x	Usbekisch	0	uzb	0	Usbekisch	Uzbek	uzb	SOV
ja	0	x	Panjabi	0	0	0	Panjabi, Pandschabisch	Panjabi; Punjabi	pan	SOV
ja	x	x	Persisch	0	fas	0	Persisch	Persian	fas	SOV
ja	x	x	Deutsch	German	deu	0	Deutsch	German	deu	SOV or SVO
ja	x	x	Deutsch	German	ger	0	Deutsch	German	ger	SOV or SVO
ja	x	x	Ungarisch	hungarian	hun	0	Ungarisch	Hungarian	hun	SOV or SVO
ja	x	x	Niederländisch	dutch	nld	0	Niederländisch, Belgisches Niederländisch	Dutch	nld	SOV or SVO
ja	x	x	Bosnisch	0	bos	0	Bosnisch	Bosnian	bos	SVO
ja	x	0	Serbisch	0	0	0	Serbisch	Serbian	scc	SVO
ja	x	0	Kroatisch	0	hrv	0	Kroatisch	Croatian	hrv	SVO
ja	x	x	Hebräisch	0	heb	heb	Hebräisch	Hebrew	heb	SVO
ja	x	x	Chinesisch	chinese	zho	0	Chinesisch	Chinese	zho	SVO
ja	x	x	Bulgarisch	Bulgarian	bul	0	Bulgarisch	Bulgarian	bul	SVO
ja	x	x	Katalanisch	0	cat	0	Katalanisch, Valencianisch	Catalan	cat	SVO
ja	x	x	Tschechisch	Czech	ces	0	Tschechisch	Czech	ces	SVO
ja	x	x	Dänisch	0	dan	0	Dänisch	Danish	dan	SVO
ja	x	x	Englisch	English	eng	engl	Englisch	English	eng	SVO
ja	x	0	Ewe	0	0	0	Ewe	Ewe	ewe	SVO
ja	x	x	Finnisch	0	fin	0	Finnisch	Finnish	fin	SVO
ja	x	x	Französisch	French	fra	0	Französisch	French	fra	SVO
ja	x	0	Ga	0	0	0	Ga	Ga	gaa	SVO
ja	x	x	Indonesisch	0	ind	0	Indonesisch	Indonesian	ind	SVO
ja	0	x	0	0	isl	0	Isländisch	Icelandic	isl	SVO
ja	x	x	Italienisch	Italian, italian	ita	0	Italienisch	Italian	ita	SVO
ja	x	x	0	0	kik	0	Kikuyu	Kikuyu	kik	SVO
ja	x	x	Lettisch	0	lat	0	Lettisch	Latvian	lav	SVO
ja	x	x	0	0	lit	0	Litauisch	Lithuanian	lit	SVO
ja	x	0	0	0	lub	0	Kiluba	Luba-Katanga	lub	SVO
ja	x	x	Norwegisch	0	nor	0	Norwegisch, Riksmål	Norwegian	nor	SVO
ja	x	x	Polnisch	Polish	pol	0	Polnisch	Polish	pol	SVO
ja	x	x	Portugiesisch		por	0	Portugiesisch	Portuguese	por	SVO
ja	x	x	Rumänisch	0	ron	0	Rumänisch	Romanian	ron	SVO
ja	x	x	Russisch	russian, Russian	rus	0	Russisch	Russian	rus	SVO
ja	x	x	Slowenisch	0	slv	0	Slowenisch	Slovenian	slv	SVO
ja	x	0	0	0	sme	0	Nordsamisch	Northern Sami	sme	SVO
ja	0	x	0	0	sna	0	Shona	Shona	sna	SVO
ja	x	x	Spanisch	Spanish	spa	0	Spanisch, Kastilisch	Spanish (Castilian)	spa	SVO
ja	x	0	Albanisch	0	sqi	0	Albanisch	Albanian	sqi	SVO
ja	x	0	Albanisch	0	alb	0	Albanisch	Albanian	sqi	alb
ja	x	x	0	0	swa	0	Swahili	Swahili (generic)	swa	SVO
ja	x	x	0	0	swe	0	Schwedisch	Swedish	swe	SVO
ja	x	0	Thai	Thai	tha	0	Thailändisch, Thai	Thai	tha	SVO
ja	x	x	Ukrainisch	0	ukr	0	Ukrainisch	Ukrainian	ukr	SVO
ja	x	0	Vietnamesisch	Vietnamese	vie	0	Vietnamesisch	Vietnamese	vie	SVO
ja	0	x	0	0	xho	0	isiXhosa	Xhosa	xho	SVO
ja	x	0	Yoruba	0	0	0	Yoruba	Yoruba	yor	SVO
ja	x	x	Kantonesisch	0	0	0	Kantonesisch	Yue Chinese (Cantonese)	yue	SVO
ja	0	x	Mazedonisch	0	0	0	Mazedonisch	Macedonian	mkd	SVO
ja	x	x	Serbokroatisch	0	hbs	0	Serbokroatisch	Serbo-Croatian	hbs	SVO
ja	x	x	Mandarin	Mandarin Chinese	cmn	0	Mandarin, Hochchinesisch	Mandarin Chinese	cmn	SVO
ja	x	x	Griechisch	0	ell	0	Griechisch	Greek	ell	SVO or VSO
ja	x	0	0	Modern Greek (1453-)	0	0	Griechisch	Greek	gre	SVO or VSO
ja	x	x	0	0	afr	0	Afrikaans, Kapholländisch, Kolonial-Niederländisch	Afrikaans	afr	unklar
ja	0	x	0	0	alg	0	Algonkin	Algonquin	alq	unklar
ja	x	x	0	0	ang	0	Altenglisch	Old English	ang	unklar
ja	x	0	0	0	bak	0	Baschkirisch	Bashkir	bak	unklar
ja	x	0	Betawi	0	0	0	Betawi	Betawi	bew	unklar
ja	0	x	0	0	bfi	0	British Sign Language	British Sign Language	bfi	unklar
ja	x	x	0	0	cma	0	Maa	Maa	cma	unklar
ja	x	0	0	0	ebu	0	Embu	Embu	ebu	unklar
ja	0	x	0	0	fro	0	Altfranzösisch	French, Old (842–ca. 1400)	fro	unklar
ja	x	0	0	Galician	0	0	Galicisch, Galegisch	Galician	glg	unklar
ja	0	x	0	0	gmh	0	Mittelhochdeutsch	German, Middle High (ca. 1050–1500)	gmh	unklar
ja	0	x	Altgriechisch	0	grc	0	Altgriechisch	Greek, Ancient (to 1453)	grc	unklar
ja	0	x	0	0	hbo	0	Althebräisch	Hebrew, Ancient	hbo	unklar
ja	x	0	0	0	iii	0	Sichuan-Yi	Yi, Sichuan	iii	unklar
ja	x	x	Kasachisch	0	0	0	Kasachisch	Kazakh	kaz	unklar
ja	x	0	Kirgisisch	0	kir	0	Kirgisisch	Kyrgyz	kir	unklar
ja	x	0	0	0	kua	0	oshiKwanyama	Kuanyama	kua	unklar
ja	0	x	Latein	0	lat	0	Latein(isch)	Latin	lat	unklar
ja	x	0	0	0	luy	0	Luhya	Luyia	luy	unklar
