DAKODA variable;Kurzname;Erläuterung (deu);description (eng);value definition;Kommentar zum Wertebereich;details about the values (eng);default if missing information;repeatable;LC-meta variable;Description ;Condition;Fixed attributes;Further details and examples;Obligatory or not;Repeatable;version of LC-meta;DAKODA different to LC-meta?;why?;note;DAKODA value -> LC-meta  value;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
annotation_automatic;;Wurde der Annotationsprozess automatisch durchgeführt?;Was the annotation process fully automatic?;yes, no;;;notAvailable;yes;annotation_automatic;Was the annotation process fully automatic?;;yes, no;;obligatory;no;2, 2024-05-31;same;resources;only for DAKODA annotations;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
annotation_corrected;;Wurde die automatische Annotation einer weiteren Korrektur unterzogen?;Was the automatic annotation subject to further correction?;yes, no;;;notAvailable;yes;annotation_corrected;Was the automatic annotation subject to further correction?;;yes, no;;obligatory;no;2, 2024-05-31;same;resources;only for DAKODA annotations;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
annotation_documentation;;Klartextbeschreibung der Annotation oder Link zur Dokumentation;Plain text description of annotation or link to documentation;string;;;notAvailable;yes;annotation_documentation;Plain text description of annotation or link to documentation;;;In case you answer “yes” to the previous questions, it is particularly important that you document the evaluation of the annotation as well as its correction.;obligatory;no;2, 2024-05-31;same;resources;only for DAKODA annotations;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
annotation_evaluation;;Wurde die Annotation evaluiert?;Was the annotation evaluated?;yes, no;;;notAvailable;yes;annotation_evaluation;Was the annotation evaluated?;;yes, no;;obligatory;no;2, 2024-05-31;same;resources;only for DAKODA annotations;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
annotation_modelVersion;;Version eines trainierten statistischen Modells oder Parametersatzes zur Verwendung mit dem Annotationswerkzeug.;Version of a trained statistical model or parameter set for use with the annotation tool.;string;;;notAvailable;yes;;;;;;;;;added;DAKODA research;#;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
annotation_tool ;;Name des für die Annotation verwendeten Tools;Name of tool used for annotation;string;;;notAvailable;yes;annotation_tool ;Name of tool used for annotation;;;TreeTagger, WordSmith Tools, Spacy;obligatory;no;2, 2024-05-31;same;resources;only for DAKODA annotations;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
annotation_toolVersion;;Version des für die Annotation verwendeten Tools;Version of tool used for annotation;string;;;notAvailable;yes;annotation_tool_version;Version of tool used for annotation;;;tree-tagger-MacOSX-Intel-3.2.3;optional;no;2, 2024-05-31;same;resources;only for DAKODA annotations;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
annotation_type;;Eindeutige Kennung für die Annotation;Unique identifier for annotation;string;;;notAvailable;yes;annotation_type;Unique identifier for annotation;;Lemma, POS, UPOS, Parsing, Error, TH, other;;obligatory;yes;2, 2024-05-31;same;resources;only for DAKODA annotations;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
annotator_id;;Eindeutige Kennung für den/die manuelle/n Annotator/-in;Unique identifier for manual annotator;string;;;notAvailable;yes;annotator_id;Unique identifier for manual annotator;;;;optional;yes;2, 2024-05-31;same;resources;only for DAKODA annotations;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
annotator_L1;;L1 der/des Annotator/-in;"Annotator L1
";ISO 639-3;;;notAvailable;yes;annotator_L1;"Annotator L1
";;[ISO language code 639-3];;obligatory;yes;2, 2024-05-31;same;resources;only for DAKODA annotations;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
